"cost_center","location"
"10050802",NKI002 - โพนพิสัย
"10050789",BKK074 - ตลาดมีนบุรี
"10050758",SPK033 - ซอยไปรษณีย์เก่า
"10050081",SRI008 - ตาลเดี่ยว
"10050797",PTE036 - หน้าเมืองเอก
"10050793",NYK003 - แยกวัดอุดม
"10050026",PTE006 - สามโคก
"10050805",AYA025 - ปากกราน
"10050257",BRM010 - ถนนจิระ
"10050800",BRM021 - ดูโฮมบุรีรัมย์
"10050435",KRI002 - ท่ามะกา
"10050377",KKN026 - ท่าพระ
"10050322",NMA069 - หมูสี เขาใหญ่
"10050325",PTE021 - ตลาดสดพระยาสมาน เลียบคลองสาม
"10050336",BKK054 - ท่าข้าม ซอย 7
"10050100",SRI013 - ถนนบันเทิง
"10050406",RET003 - ราชการดำเนิน
"10050295",SPK005 - ซอยมังกร
"10050087",CCO008 - บางคล้า
"10050717",BKK070 - นาคนิวาส
"10050764",SKN026 - บางหญ้าแพรก
"10050203",ATG003 - หน้าโรงพยาบาลอ่างทอง
"10050702",SPK031 - ถนนศรีนครินทร์
"10050794",PRI010 - ศรีมหาโพธิ
"10050574",KRI011 - ท่าหวี
"10050106",BKK021 - หมู่บ้านนันทวัน5
"10050220",SRN001 - ถนนปัทมานนท์
"10050436",UDN002 - สามพร้าว
"10050754",RYG032 - กระเฉด
"10050536",NBP003 - สี่แยก รพ.ศรีบุญเรือง
"10050041",AYA012 - นครหลวง
"10050014",PTE002 - ตลาดอุดมทรัพย์
"10050771",YST006 - คำเขื่อนแก้ว
"10050669",CBI088 - เขาขยาย
"10050795",SPK037 - แพรกษา 2
"10050269",BKK041 - ประชาอุทิศ ซอย 90
"10050668",KSN008 - ยางตลาด
"10050451",PRI003 - ท่าตูม
"10050518",CBI057 - ไร่กล้วย
"10050016",PTE007 - ตลาด200ปีรังสิต
"10050715",SBR003 - ตลาดอินทร์บุรี
"10050752",UDN012 - บ้านดุง
"10050804",LEI003 - ร่วมใจ
"10050354",CBI032 - สวนอุตสาหกรรมสหพัฒน์
"10050110",SRI020 - ถนนเศรษฐสัมพันธ์
"10050706",PBI005 - หลังบิ๊กซีเพชรบุรี
"10050713",RYG026 - โขดหิน
"10050535",UBN022 - เดชอุดม
"10050324",MKM006 - กันทรวิชัย
"10050363",KKN025 - เขาสวนกวาง
"10050762",SKN027 - ตลาดวาสนา
"10050040",AYA010 - วัดพระญาติ
"10050799",NMA083 - พิมายเมืองใหม่
"10050606",YST001 - เลิงนกทา
"10050468",UBN008 - ปทุม
"10050116",SRI025 - นิคมเหมราช
"10050232",BRM003 - ประโคนชัย
"10050371",MKM010 - นาดูน
"10050763",PTE034 - ธัญบุรีคลอง 7
"10050445",PRI004 - คลองรั้ง
"10050018",PTE004 - เสมาฟ้าคราม ลำลูกกาคลอง2
"10050388",CPM007 - หนองบัวแดง
"10050323",NMA066 - สามแยกปัก
"10050803",UDN017 - เพ็ญ
"10050297",CBI019 - สี่แยกปากร่วม บ่อวิน
"10050355",CBI043 - ตลาดสดศรีราชา
"10050757",UBN024 - สว่างวีระวงศ์
"10050670",CBI086 - เขาไม้แก้ว
"10050298",NMA058 - ถนนมหาดไทย
"10050223",CPM004 - จัตุรัส
"10050622",PRI005 - กบินทร์บุรี
"10050672",RYG020 - นิคมพัฒนา ซอย 8
"10050292",NMA054 - ถนนประจักษ์(ประตูน้ำ)
"10050115",SKN013 - บ้านแพ้ว
,TNBI001 - Test เท่านั้น
"10050801",UDN015 - ศรีสุทโธ
"10050218",NPT002 - ถนนพุทธมณฑลสาย 4
"10050270",BRM013 - หนองหงส์
"10050318",CBI027 - ถนนเก้ากิโล
"10050343",CBI035 - บ่อทอง
"10050333",NBI033 - สนามบินน้ำ
"10050721",NPT015 - นครชัยศรี
"10050753",RYG031 - บ้านใต้สุน
"10050174",NMA039 - ไชยณรงค์ (ประตูผี)
"10050364",MKM013 - พยัคฆภูมิพิสัย
"10050043",NBI015 - หมู่บ้านพฤกษา 3
"10050790",BKK075 - ไทยรามัญ (หทัยราษฎร์)
"10050022",BKK003 - วิภาวดี ซอย35
"10050765",KSN009 - หนองกุงศรี
"10050095",SRI010 - แก่งคอย
"10050791",UBN028 - เขื่องใน
"10050658",PLK008 - นครไทย
"10050678",RYG022 - ละหารไร่
"10050293",SPK008 - สุขสวัสดิ์ 76
"10050066",NBI025 - ท่าอิฐ
"10050212",MKM003 - ห้าแยก มมส.
"10050618",SSK010 - กันทรารมย์
"10050267",SSK003 - สี่แยกโรงพยาบาลศรีสะเกษ
"10050005",NBI005 - บางศรีเมือง
"10050614",CBI060 - สี่แยกมิตรกมล
