Asset Tag,Status,Employee Id,Location,Out of Order
1000320000484-0000,Deploy from IT,,SKN014 - สารินซิตี้ โคกขาม  ,
1000320000489-0000,Sold,,ขายทรัพย์สิน,
1000320000518-0000,Stored,,Stock,
1000320000640-0000,Sold,,ขายทรัพย์สิน,
1000320000651-0000,Stored,,Stock,
1000320000655-0000,Sold,,ขายทรัพย์สิน,
1000320000665-0000,Sold,,ขายทรัพย์สิน,
1000320001435-0000,Sold,,ขายทรัพย์สิน,
1000320001436-0000,Branch,,AYA003 - คลองสวนพลู   ,
1000320001437-0000,Sold,,ขายทรัพย์สิน,
1000320001438-0000,Sold,,ขายทรัพย์สิน,
1000320001439-0000,Sold,,ขายทรัพย์สิน,
1000320001451-0000,Stored,,Stock,
1000320002063-0000,Sold,,ขายทรัพย์สิน,
1000320002093-0000,Branch,,RYG012 - นิคมพัฒนา   ,
1000320002101-0000,Deploy from IT,2184,KSN003 - ตลาดเทศบาลเมืองกาฬสิ   ,
1000320002102-0000,Stored,,Stock,
1000320002106-0000,Stored,,Stock,
1000320002116-0000,Sold,,ขายทรัพย์สิน,
1000320002851-0000,Branch,,KPT006 - สลกบาตร   ,
1000320002860-0000,Sold,,ขายทรัพย์สิน,
1000320003233-0000,Branch,,UBN007 - หน้ารพ.สรรพสิทธิ์   ,
1000320003234-0000,Branch,,PRI003 - ท่าตูม   ,
1000320003235-0000,Branch,,PBI001 - ชะอำ   ,
1000320003236-0000,Branch,,PBI002 - ตลาดทุ่งลม   ,
1000320003237-0000,Branch,,BKK063 - ถนนกิ่งแก้ว   ,
1000320003238-0000,Branch,,PRI004 - คลองรั้ง   ,
1000320003239-0000,Branch,,BKK064 - บางบอน 5  ,
1000320003240-0000,Branch,,CBI053 - ชัยพร   ,
1000320003241-0000,Branch,,UBN008 - ปทุม   ,
1000320003242-0000,Branch,,SKW001 - ในเมืองสระแก้ว   ,
1000320003243-0000,Branch,,NBI005 - บางศรีเมือง   ,
1000320003244-0000,Branch,,PKN001 - หัวหิน   ,
1000320003245-0000,Branch,,RBR003 - บ้านไร่   ,
1000320003246-0000,Branch,,RYG007 - ตลาดหมอดิษฐ์   ,
1000340003612-0000,Branch,,BKK062 - แฮปปี้แลนด์   ,
1000340003610-0000,Branch,,CBI049 - สัตหีบ   ,
1000340003608-0000,Branch,,KSN005 - หน้าโลตัสกาฬสินธุ์   ,
1000340003606-0000,Branch,,RYG004 - เมืองระยอง   ,
1000340003611-0000,Branch,,KRI002 - ท่ามะกา   ,
1000340003609-0000,Branch,,CCO015 - แสนภูดาษ   ,
1000340003607-0000,Branch,,SPK013 - แพรกษา   ,
1000340003604-0000,Branch,,PRI002 - ราษฎรดำริ   ,
1000340003600-0000,Branch,,KRI003 - เมืองกาญจนบุรี   ,
1000340003602-0000,Branch,,SRN009 - ศีขรภูมิ   ,
1000340003594-0000,Branch,,RBR003 - บ้านไร่   ,
1000340003599-0000,Branch,,RYG007 - ตลาดหมอดิษฐ์   ,
1000340003590-0000,Branch,,RYG008 - หน้าบขส.ใหม่ระยอง   ,
1000340003589-0000,Branch,,SPK012 - แบริ่ง   ,
1000340003585-0000,Branch,,KKN019 - ประตูน้ำขอนแก่น   ,
1000340003584-0000,Branch,,UDN002 - สามพร้าว   ,
1000340003583-0000,Branch,,RYG006 - สวนศรีเมืองระยอง   ,
1000340003586-0000,Branch,,PRI001 - ถนนเทศบาลดำริ   ,
1000340003587-0000,Branch,,CBI050 - แยก กม.10  ,
1000340003591-0000,Move to IT support,,IT Support,
1000340003593-0000,Branch,,AYA023 - ตลาดหัวรอ   ,
1000340003595-0000,Branch,,SPK014 - ปากน้ำ   ,
1000340003598-0000,Branch,,PBI003 - เขาวัง   ,
1000340002218-0000,Borrow,914,914,
1000340002209-0000,Borrow,301,301,
1000320004222-0000,Branch,,CNT001 - หน้าเทศบาลเมืองชัยนา   ,
1000320004223-0000,Branch,,SRN010 - ดูโฮมสุรินทร์   ,
1000320004224-0000,Branch,,CBI056 - ชัยพฤกษ์   ,
1000320004225-0000,Branch,,CBI056 - ชัยพฤกษ์   ,
1000320004226-0000,Branch,,CNT001 - หน้าเทศบาลเมืองชัยนา   ,
1000320004227-0000,Branch,,CNT001 - หน้าเทศบาลเมืองชัยนา   ,
1000320004228-0000,Branch,,CBI056 - ชัยพฤกษ์   ,
1000320004229-0000,Branch,,CBI056 - ชัยพฤกษ์   ,
1000320004230-0000,Branch,,CCO017 - สนามชัยเขต   ,
1000320004231-0000,Branch,,CCO017 - สนามชัยเขต   ,
1000320004232-0000,Branch,,CCO017 - สนามชัยเขต   ,
1000320004233-0000,Pending repair,,คลังรอส่งซ่อม,
1000320004234-0000,Branch,,UTI001 - อุทัยธานี   ,
1000320004235-0000,Branch,,UTI001 - อุทัยธานี   ,
1000320004236-0000,Branch,,UTI001 - อุทัยธานี   ,
1000320004237-0000,Branch,,UTI001 - อุทัยธานี   ,
1000320004238-0000,Branch,,UBN002 - ตระการพืชผล   ,
1000320004239-0000,Branch,,SRN010 - ดูโฮมสุรินทร์   ,
1000320004240-0000,Branch,,SRN010 - ดูโฮมสุรินทร์   ,
1000320004241-0000,Branch,,CNT001 - หน้าเทศบาลเมืองชัยนา   ,
1000320004242-0000,Branch,,UDN003 - ดูโฮมอุดรธานี   ,
1000320004243-0000,Branch,,PKN002 - โค้งพระจันทร์   ,
1000320004244-0000,Branch,,UBN014 - น้ำยืน   ,
1000320004245-0000,Branch,,UDN003 - ดูโฮมอุดรธานี   ,
1000320004246-0000,Branch,,UDN003 - ดูโฮมอุดรธานี   ,
1000320004247-0000,Branch,,UBN014 - น้ำยืน   ,
1000320004248-0000,Branch,,UBN014 - น้ำยืน   ,
1000320004249-0000,Branch,,UDN003 - ดูโฮมอุดรธานี   ,
1000320004250-0000,Branch,,PKN002 - โค้งพระจันทร์   ,
1000320004251-0000,Branch,,PKN002 - โค้งพระจันทร์   ,
1000320004252-0000,Branch,,PKN002 - โค้งพระจันทร์   ,
1000320004253-0000,Branch,,UBN014 - น้ำยืน   ,
1000320004254-0000,Branch,,RBR004 - หน้าตลาดกำนันหลัก   ,
1000320004255-0000,Branch,,RBR004 - หน้าตลาดกำนันหลัก   ,
1000320004256-0000,Branch,,RBR004 - หน้าตลาดกำนันหลัก   ,
1000320004257-0000,Branch,,RBR004 - หน้าตลาดกำนันหลัก   ,
1000320004258-0000,Branch,,NBI006 - ไทรน้อย   ,
