Asset Tag,Status,Employee Id
1000320000518-0000,รับเข้า,1366
1000320000651-0000,รับเข้า,1366
1000320001451-0000,รับเข้า,1366
1000320002102-0000,รับเข้า,1366
1000320002106-0000,รับเข้า,1366
1000320004261-0000,ย้ายเข้า Stock,2139
1000320004349-0000,ย้ายเข้า Stock,2139
1000320004538-0000,ย้ายเข้า Stock,2139
1000320004582-0000,ย้ายเข้า Stock,2139
1000340002349-0000,รับเข้า,1063
1000340002339-0000,รับเข้า,1063
1000340003312-0000,รับเข้า,1063
1000320003875-0000,ย้ายเข้า Stock,2139
1000320000897-0000,รับเข้า,1063
1000320000110-0000,ย้ายเข้า Stock,2139
1000320000118-0000,ย้ายเข้า Stock,2139
1000340003704-0000,ย้ายเข้า Stock,2139
1000320000266-0000,ย้ายเข้า Stock,2139
1000320003274-0000,รับเข้า,1063
1000340000195-0000,ย้ายเข้า Stock,30000068
1000340003794-0000,ย้ายเข้า Stock,22
1000320003426-0000,ย้ายเข้า Stock,2139
1000320002180-0000,ย้ายเข้า Stock,2139
1000320002181-0000,ย้ายเข้า Stock,1366
1000320002193-0000,ย้ายเข้า Stock,1366
1000320002187-0000,ย้ายเข้า Stock,1366
1000320000062-0000,ย้ายเข้า Stock,1444
1000320004921-0000,ย้ายเข้า Stock,2139
1000320004710-0000,ย้ายเข้า Stock,2139
1000320002831-0000,ย้ายเข้า Stock,1063
1000340000212-0000,รับเข้า,1063
1000340000069-0000,รับเข้า,1063
1000340000021-0000,รับเข้า,1063
1000340000018-0000,รับเข้า,1063
1000340000022-0000,รับเข้า,1063
1000320000906-0000,ย้ายเข้า Stock,30000006
1000320000001-0000,รับเข้า,1366
1000320000004-0000,ย้ายเข้า Stock,1366
1000320000017-0000,ย้ายเข้า Stock,2139
1000320000036-0000,ย้ายเข้า Stock,2139
1000320000058-0000,ย้ายเข้า Stock,2139
1000320000060-0000,ย้ายเข้า Stock,2139
1000320000158-0000,ย้ายเข้า Stock,2139
1000320000351-0000,ย้ายเข้า Stock,2139
1000320000773-0000,ย้ายเข้า Stock,2139
1000340000027-0000,ย้ายเข้า Stock,2139
1000340000210-0000,ย้ายเข้า Stock,1366
1000340000223-0000,ย้ายเข้า Stock,2139
1000340000424-0000,ย้ายเข้า Stock,1366
1000340000488-0000,ย้ายเข้า Stock,2139
1000340000683-0000,ย้ายเข้า Stock,2139
1000340000691-0000,ย้ายเข้า Stock,2139
1000340000739-0000,ย้ายเข้า Stock,1366
1000340001119-0000,ย้ายเข้า Stock,2139
1000340001269-0000,ย้ายเข้า Stock,2139
1000340001292-0000,ย้ายเข้า Stock,2139
1000340001341-0000,ย้ายเข้า Stock,2139
1000340001362-0000,ย้ายเข้า Stock,2139
1000340001595-0000,ย้ายเข้า Stock,2139
1000340001718-0000,ย้ายเข้า Stock,2139
1000340001719-0000,ย้ายเข้า Stock,2139
1000340001721-0000,ย้ายเข้า Stock,2139
1000340002571-0000,ย้ายเข้า Stock,2139
1000340003171-0000,ย้ายเข้า Stock,2139
1000340003400-0000,ย้ายเข้า Stock,2139
1000320000005-0000,ย้ายเข้า Stock,2139
1000300000835-0000,ย้ายเข้า Stock,2139
1000300000837-0000,ย้ายเข้า Stock,2139
1000340003221-0000,ย้ายเข้า Stock,2139
1000340003291-0000,ย้ายเข้า Stock,2139
1000340002564-0000,รับเข้า,1366
1000340002113-0000,รับเข้า,1366
1000320000308-0000,รับเข้า,1366
1000320000307-0000,รับเข้า,1366
1000320000350-0000,รับเข้า,1366
1000320003919-0000,รับเข้า,1366
1000320003963-0000,รับเข้า,1366
1000320003962-0000,รับเข้า,1366
1000320000304-0000,ย้ายเข้า Stock,2139
1000320000303-0000,รับเข้า,1366
1000300000145-0000,รับเข้า,1366
1000300000135-0000,รับเข้า,1366
1000300000094-0000,รับเข้า,1366
1000340001039-0000,รับเข้า,1366
1000340001134-0000,รับเข้า,1366
1000340001026-0000,รับเข้า,1366
1000340001020-0000,รับเข้า,1366
1000340001147-0000,รับเข้า,1366
1000340001017-0000,รับเข้า,1366
1000340001034-0000,รับเข้า,1366
1000340001040-0000,รับเข้า,1366
1000340001025-0000,รับเข้า,1366
1000340001014-0000,รับเข้า,1366
1000340001005-0000,รับเข้า,1366
1000340001012-0000,รับเข้า,1366
1000340001001-0000,รับเข้า,1366
1000340001013-0000,รับเข้า,1366
1000340001136-0000,รับเข้า,1366
1000340001041-0000,รับเข้า,1366
1000340000998-0000,รับเข้า,1366
1000340001010-0000,รับเข้า,1366
1000320002609-0000,รับเข้า,1366
1000320000331-0000,ย้ายเข้า Stock,22
1000320000315-0000,ย้ายเข้า Stock,22
1000320000229-0000,ย้ายเข้า Stock,22
1000320000219-0000,ย้ายเข้า Stock,22
1000320000329-0000,ย้ายเข้า Stock,22
1000320000230-0000,ย้ายเข้า Stock,22
1000320000839-0000,ย้ายเข้า Stock,22
1000320000012-0000,ย้ายเข้า Stock,22
1000320000221-0000,ย้ายเข้า Stock,22
1000340001160-0000,รับเข้า,1366
1000340000416-0000,รับเข้า,1366
1000340000401-0000,รับเข้า,1366
1000340000122-0000,รับเข้า,1366
1000340001911-0000,รับเข้า,1366
1000340000616-0000,รับเข้า,1366
1000340000640-0000,รับเข้า,1366
1000340000290-0000,รับเข้า,1366
1000340000123-0000,รับเข้า,1366
1000340000121-0000,รับเข้า,1366
1000340000302-0000,รับเข้า,1366
1000340000224-0000,รับเข้า,1366
1000340000082-0000,รับเข้า,1366
1000340000149-0000,รับเข้า,1366
1000340000145-0000,รับเข้า,1366
1000340000112-0000,รับเข้า,1366
1000340000872-0000,รับเข้า,1366
1000340000003-0000,รับเข้า,1366
1000340001640-0000,ย้ายเข้า Stock,2139
1000300000151-0000,รับเข้า,1366
1000300000146-0000,รับเข้า,1366
1000300000141-0000,รับเข้า,1366
1000300000134-0000,รับเข้า,1366
1000300000155-0000,รับเข้า,1366
1000300000150-0000,รับเข้า,1366
1000300000158-0000,รับเข้า,1366
1000300000159-0000,รับเข้า,1366
1000300000161-0000,รับเข้า,1366
1000300000093-0000,ย้ายเข้า Stock,2139
1000340001910-0000,รับเข้า,1366
1000340000376-0000,รับเข้า,1366
1000340000397-0000,รับเข้า,1366
1000320000305-0000,รับเข้า,1366
1000320000270-0000,รับเข้า,1366
1000320000271-0000,รับเข้า,1366
1000340002185-0000,รับเข้า,1366
1000320000383-0000,รับเข้า,1366
1000340000130-0000,รับเข้า,1366
1000340001291-0000,รับเข้า,1366
1000340001908-0000,รับเข้า,1366
1000340000386-0000,รับเข้า,1366
1000340000418-0000,รับเข้า,1366
1000340000403-0000,รับเข้า,1366
1000340000119-0000,รับเข้า,1366
1000340000405-0000,รับเข้า,1366
1000340000323-0000,รับเข้า,1366
1000340001896-0000,รับเข้า,1366
1000340000427-0000,รับเข้า,1366
1000340000409-0000,รับเข้า,1366
1000340002565-0000,รับเข้า,1366
1000340000280-0000,รับเข้า,1366
1000340000392-0000,รับเข้า,1366
1000320002378-0000,รับเข้า,1366
1000320002421-0000,ย้ายเข้า Stock,2139
1000320002530-0000,ย้ายเข้า Stock,2139
1000320002010-0000,ย้ายเข้า Stock,2139
1000320002431-0000,ย้ายเข้า Stock,2139
1000340001248-0000,รับเข้า,1366
1000340000439-0000,รับเข้า,1366
1000320000018-0000,รับเข้า,1366
1000340000828-0000,รับเข้า,1366
1000340000647-0000,รับเข้า,1366
1000340000563-0000,รับเข้า,1366
1000320000006-0000,รับเข้า,1366
1000340000648-0000,รับเข้า,1366
1000340000134-0000,รับเข้า,1366
1000320003315-0000,ย้ายเข้า Stock,2139
1000320003381-0000,ย้ายเข้า Stock,2139
1000340004342-0000,ย้ายเข้า Stock,2139
1000340004335-0000,รับเข้า,875
1000340004343-0000,ย้ายเข้า Stock,2139
1000340004336-0000,รับเข้า,875
1000340004340-0000,รับเข้า,875
1000340004511-0000,ย้ายเข้า Stock,2139
1000320000833-0000,ย้ายเข้า Stock,22
1000320005204-0000,รับเข้า,1063
1000320005208-0000,ย้ายเข้า Stock,2139
1000320005211-0000,ย้ายเข้า Stock,2139
1000320005213-0000,รับเข้า,1063
1000340002572-0000,ย้ายเข้า Stock,2139
1000340001886-0000,รับเข้า,22
1000340000734-0000,รับเข้า,22
1000340000395-0000,รับเข้า,22
1000340000930-0000,รับเข้า,22
1000340000399-0000,รับเข้า,22
1000320005251-0000,ย้ายเข้า Stock,2139
1000340005150-0000,ย้ายเข้า Stock,2139
1000340005175-0000,ย้ายเข้า Stock,2139
1000340000316-0000,ย้ายเข้า Stock,2139
1000340000375-0000,ย้ายเข้า Stock,2139
1000340000133-0000,ย้ายเข้า Stock,2139
1000340000287-0000,ย้ายเข้า Stock,2139
1000340001368-0000,ย้ายเข้า Stock,2139
1000320005704-0000,รับเข้า,2139
1000320005705-0000,ย้ายเข้า Stock,2139
1000320005706-0000,รับเข้า,2139
1000320005707-0000,รับเข้า,2139
1000320005708-0000,รับเข้า,2139
1000320005710-0000,รับเข้า,2139
1000320005713-0000,รับเข้า,2139
1000320005714-0000,รับเข้า,2139
1000320005715-0000,รับเข้า,2139
1000320005716-0000,รับเข้า,2139
1000320005718-0000,รับเข้า,2139
1000340005309-0000,ย้ายเข้า Stock,2139
1000340001193-0000,ย้ายเข้า Stock,2139
1000320003340-0000,รับเข้า,2139
1000340004411-0000,ย้ายเข้า Stock,2139
1000340004420-0000,ย้ายเข้า Stock,2139
1000340005433-0000,รับเข้า,2139
1000340005441-0000,รับเข้า,2139
1000320002434-0000,ย้ายเข้า Stock,2139
1000320003530-0000,ย้ายเข้า Stock,2139
1000320001286-0000,รับเข้า,2139
1000320002464-0000,ย้ายเข้า Stock,2139
1000340005630-0000,รับเข้า,2139
1000340004194-0000,รับเข้า,2139
1000340000422-0000,รับเข้า,2139
1000340000440-0000,รับเข้า,2139
1000340000419-0000,รับเข้า,2139
1000340000382-0000,รับเข้า,2139
1000340002989-0000,รับเข้า,2139
1000340001161-0000,รับเข้า,2139
1000340001268-0000,รับเข้า,2139
1000320003912-0000,รับเข้า,2139
3CQ8051GJB,รับเข้า,2139
3CQ81738L7,รับเข้า,2139
1000320003097-0000,รับเข้า,2139
1000320003089-0000,รับเข้า,2139
1000320003090-0000,รับเข้า,2139
1000320002631-0000,รับเข้า,2139
1000340002569-0000,รับเข้า,2139
1000340002573-0000,รับเข้า,2139
1000340001267-0000,รับเข้า,2139
1000340000413-0000,รับเข้า,2139
1000340000400-0000,รับเข้า,2139
1000340000415-0000,รับเข้า,2139
1000340000332-0000,รับเข้า,2139
1000340000267-0000,รับเข้า,2139
1000340001096-0000,ย้ายเข้า Stock,2139
1000320002859-0000,รับเข้า,2139
1000340002000-0000,รับเข้า,2139
1000320000124-0000,ย้ายเข้า Stock,2139
1000320000859-0000,ย้ายเข้า Stock,2139
1000320003859-0000,รับเข้า,2139
1000340003302-0000,รับเข้า,2139
1000300001510-0000,รับเข้า,2139
1000340000231-0000,รับเข้า,2139
1000340000135-0000,รับเข้า,2139
1000340000383-0000,รับเข้า,2139
1000340001018-0000,รับเข้า,2139
1000340001030-0000,รับเข้า,2139
1000340001008-0000,รับเข้า,2139
1000340001137-0000,รับเข้า,2139
1000300000122-0000,รับเข้า,2139
1000340001002-0000,รับเข้า,2139
1000340001029-0000,รับเข้า,2139
1000340001032-0000,รับเข้า,2139
1000340001024-0000,รับเข้า,2139
1000340001302-0000,รับเข้า,2139
1000340001143-0000,รับเข้า,2139
1000340001019-0000,รับเข้า,2139
1000340001027-0000,รับเข้า,2139
1000340001023-0000,รับเข้า,2139
1000340001033-0000,รับเข้า,2139
1000340001016-0000,รับเข้า,2139
1000340001031-0000,รับเข้า,2139
1000340001028-0000,รับเข้า,2139
1000340001133-0000,รับเข้า,2139
1000340001138-0000,รับเข้า,2139
1000340001007-0000,รับเข้า,2139
1000340001022-0000,รับเข้า,2139
1000340001144-0000,รับเข้า,2139
1000340001006-0000,รับเข้า,2139
1000340001035-0000,รับเข้า,2139
1000340001021-0000,รับเข้า,2139
1000340001003-0000,รับเข้า,2139
1000340002634-0000,รับเข้า,2139
1000340002633-0000,รับเข้า,2139
1000340002603-0000,รับเข้า,2139
1000340001881-0000,รับเข้า,2139
1000340002632-0000,รับเข้า,2139
1000340002606-0000,รับเข้า,2139
1000300001902-0000,รับเข้า,2139
1000340001787-0000,รับเข้า,2139
1000340001943-0000,รับเข้า,2139
1000340002433-0000,รับเข้า,2139
1000340002434-0000,ย้ายเข้า Stock,2139
1000340002997-0000,ย้ายเข้า Stock,2139
1000340001942-0000,รับเข้า,2139
1000340002435-0000,รับเข้า,2139
1000340002604-0000,ย้ายเข้า Stock,2139
1000340004591-0000,รับเข้า,2139
1000320000143-0000,ย้ายเข้า Stock,2139
1000320000471-0000,รับเข้า,2139
1000320006593-0000,รับเข้า,2139
1000320003966-0000,รับเข้า,2139
1000340000070-0000,รับเข้า,2139
1000320001711-0000,ย้ายเข้า Stock,2139
1000320000111-0000,รับเข้า,2139
1000320000166-0000,รับเข้า,2139
1000320000220-0000,รับเข้า,2139
1000340000602-0000,รับเข้า,2139
1000340001186-0000,รับเข้า,2139
1000340001762-0000,รับเข้า,2139
1000320002167-0000,รับเข้า,2139
1000340000312-0000,รับเข้า,2139
1000300000131-0000,รับเข้า,2139
1000300000128-0000,รับเข้า,2139
1000300000127-0000,รับเข้า,2139
1000300000136-0000,รับเข้า,2139
1000300000132-0000,รับเข้า,2139
1000300000130-0000,รับเข้า,2139
1000340001346-0000,รับเข้า,2139
1000340000445-0000,รับเข้า,2139
1000340001740-0000,รับเข้า,2139
1000340000329-0000,รับเข้า,2139
1000340001739-0000,รับเข้า,2139
1000340001906-0000,รับเข้า,2139
1000340001469-0000,รับเข้า,2139
1000340002990-0000,รับเข้า,2139
1000340000447-0000,รับเข้า,2139
1000340000642-0000,รับเข้า,2139
1000340001366-0000,รับเข้า,2139
1000340001742-0000,รับเข้า,2139
1000340000407-0000,รับเข้า,2139
1000340001174-0000,ย้ายเข้า Stock,2139
1000320002861-0000,รับเข้า,2139
1000340000284-0000,รับเข้า,2139
1000340000429-0000,รับเข้า,2139
1000320003080-0000,รับเข้า,2139
1000320002915-0000,รับเข้า,2139
1000340001552-0000,รับเข้า,2139
1000320006749-0000,รับเข้า,2139
1000340006355-0000,รับเข้า,2139
1000340006356-0000,รับเข้า,2139
1000340006357-0000,รับเข้า,2139
