Asset,-------(1)-------,-------(3)-------,Sub-number,Depreciation key,Plant,Capitalized On,Ord.dep.start date,Cost Center,Description,Life,Location,  Cum.acq.value,Spec.depreciation,Vendor,     Accum.dep.,Quantity,WBS Element, Start book.val,Base Unit of Measure,-------(4)-------,Currency,-------(2)-------,Write-ups,  Trans.acq.val,    Trns.AccDep,       PlndDep,   End book val
340000001,,,0,TH02,,09/05/2017,09/05/2017,10020055,K00025-อุปกรณ์อินเตอร์เน็ต-D Link-dgs-1100-24p,003/000,,"3,000.00",,,"-2,999.00",1,,1,EA,,THB,,0,0,0,0,1
340000002,,,0,TH02,,09/06/2017,09/06/2017,10020055,K00025-อุปกรณ์อินเตอร์เน็ต-D Link-dgs-1100-24p,003/000,,"13,350.00",,,"-13,349.00",1,,1,EA,,THB,,0,0,0,0,1
340000003,,,0,TH02,,09/06/2017,09/06/2017,10020025,K00025-อุปกรณ์อินเตอร์เน็ต-D Link-dgs-1100-24p,003/000,,"3,470.00",,,"-3,469.00",1,,1,EA,,THB,,0,0,0,0,1
340000004,,,0,TH02,,09/06/2017,09/06/2017,10020053,K00016-เครื่องกระจายสัญญาณอินเตอร์เน็ต-Ubiquiti-AC,003/000,,"6,170.00",,,"-6,169.00",1,,1,EA,,THB,,0,0,0,0,1
340000005,,,0,TH02,,09/06/2017,09/06/2017,10020055,K00016-เครื่องกระจายสัญญาณอินเตอร์เน็ต-Ubiquiti-AC,003/000,,"6,170.00",,,"-6,169.00",1,,1,EA,,THB,,0,0,0,0,1
340000006,,,0,TH02,,09/08/2017,09/08/2017,10020000,O00002-หน่วยความจำหลัก(RAM)-Kingston-Hyper-X,003/000,,"2,530.00",,,"-2,529.00",1,,1,EA,,THB,,0,0,0,0,1
340000007,,,0,TH02,,09/08/2017,09/08/2017,10050010,G00009-เครื่องปริ้นเตอร์-Fuji-LaserXEROX,003/000,,"12,990.00",,,"-12,989.00",1,,1,EA,,THB,,0,0,0,0,1
340000008,,,0,TH02,,09/20/2017,09/20/2017,10020000,O00003-หน่วยความจำสำรอง(SSD)-Samsung-850 EVO 250GB,003/000,,"3,350.00",,,"-3,349.00",1,,1,EA,,THB,,0,0,0,0,1
340000009,,,0,TH02,,09/20/2017,09/20/2017,10020000,O00003-หน่วยความจำสำรอง(SSD)-Samsung-850 EVO 250GB,003/000,,"3,350.00",,,"-3,349.00",1,,1,EA,,THB,,0,0,0,0,1
340000010,,,0,TH02,,09/20/2017,09/20/2017,10020000,O00003-หน่วยความจำสำรอง(SSD)-Samsung-850 EVO 250GB,003/000,,"3,350.00",,,"-3,349.00",1,,1,EA,,THB,,0,0,0,0,1
340000011,,,0,TH02,,09/25/2017,09/25/2017,10020025,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,665.00",,,"-1,664.00",1,,1,EA,,THB,,0,0,0,0,1
340000012,,,0,TH02,,09/25/2017,09/25/2017,10020070,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,665.00",,,"-1,664.00",1,,1,EA,,THB,,0,0,0,0,1
340000013,,,0,TH02,,09/25/2017,09/25/2017,10050250,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,665.00",,,"-1,664.00",1,,1,EA,,THB,,0,0,0,0,1
340000014,,,0,TH02,,09/25/2017,09/25/2017,10020005,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,665.00",,,"-1,664.00",1,,1,EA,,THB,,0,0,0,0,1
340000015,,,0,TH02,,09/25/2017,09/25/2017,10020025,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,665.00",,,"-1,664.00",0,,1,EA,,THB,,0,"-1,665.00","1,664.00",0,0
340000016,,,0,TH02,,09/25/2017,09/25/2017,10020025,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,665.00",,,"-1,664.00",1,,1,EA,,THB,,0,0,0,0,1
340000017,,,0,TH02,,10/24/2017,10/24/2017,10020000,F00007-เครื่องสำรองไฟ-APC-1500VA,003/000,,"17,854.02",,,"-17,853.02",1,,1,EA,,THB,,0,0,0,0,1
340000018,,,0,TH02,,10/24/2017,10/24/2017,10020070,F00002-เครื่องสำรองไฟ-APC-500VA,003/000,,"2,951.40",,,"-2,950.40",1,,1,EA,,THB,,0,0,0,0,1
340000019,,,0,TH02,,10/24/2017,10/24/2017,10020005,F00002-เครื่องสำรองไฟ-APC-500VA,003/000,,"2,951.40",,,"-2,950.40",1,,1,EA,,THB,,0,0,0,0,1
340000020,,,0,TH02,,10/24/2017,10/24/2017,10020056,F00002-เครื่องสำรองไฟ-APC-500VA,003/000,,"2,951.40",,,"-2,950.40",1,,1,EA,,THB,,0,0,0,0,1
340000021,,,0,TH02,,10/24/2017,10/24/2017,10020070,F00002-เครื่องสำรองไฟ-APC-500VA,003/000,,"2,951.40",,,"-2,950.40",1,,1,EA,,THB,,0,0,0,0,1
340000022,,,0,TH02,,10/24/2017,10/24/2017,10020070,F00002-เครื่องสำรองไฟ-APC-500VA,003/000,,"2,951.40",,,"-2,950.40",1,,1,EA,,THB,,0,0,0,0,1
340000023,,,0,TH02,,11/02/2017,11/02/2017,10020064,G00018-เครื่องพิมพ์บัตร-Zebra-ZXP3 Single-s,003/000,,"37,450.00",,,"-37,449.00",1,,1,EA,,THB,,0,0,0,0,1
340000024,,,0,TH02,,11/07/2017,11/07/2017,10050205,G00016-เครื่องปริ้นเตอร์-Samsung-Laser (All in one,003/000,,"4,550.00",,,"-4,549.00",1,,1,EA,,THB,,0,0,0,0,1
340000025,,,0,TH02,,11/07/2017,11/07/2017,10020057,G00016-เครื่องปริ้นเตอร์-Samsung-Laser (All in one,003/000,,"4,550.00",,,"-4,549.00",1,,1,EA,,THB,,0,0,0,0,1
340000027,,,0,TH02,,11/09/2017,11/09/2017,10020005,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",0,,1,EA,,THB,,0,"-1,540.00","1,539.00",0,0
340000028,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",0,,1,EA,,THB,,0,"-1,540.00","1,539.00",0,0
340000029,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",0,,1,EA,,THB,,0,"-1,540.00","1,539.00",0,0
340000030,,,0,TH02,,11/09/2017,11/09/2017,10020005,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000031,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000032,,,0,TH02,,11/09/2017,11/09/2017,10020057,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000033,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",0,,1,EA,,THB,,0,"-1,540.00","1,539.00",0,0
340000034,,,0,TH02,,11/09/2017,11/09/2017,10050262,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000035,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000036,,,0,TH02,,11/09/2017,11/09/2017,10020025,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000037,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000038,,,0,TH02,,11/09/2017,11/09/2017,10020053,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000039,,,0,TH02,,11/09/2017,11/09/2017,10020025,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000040,,,0,TH02,,11/09/2017,11/09/2017,10020070,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",0,,1,EA,,THB,,0,"-1,540.00","1,539.00",0,0
340000041,,,0,TH02,,11/09/2017,11/09/2017,10050250,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",0,,1,EA,,THB,,0,"-1,540.00","1,539.00",0,0
340000042,,,0,TH02,,11/09/2017,11/09/2017,10020028,F00004-เครื่องสำรองไฟ-APC-800VA,003/000,,"1,540.00",,,"-1,539.00",1,,1,EA,,THB,,0,0,0,0,1
340000043,,,0,TH02,,11/14/2017,11/14/2017,10020000,K00009-ฮาร์ดดิส-WD-3 TB SATA-III Red,003/000,,"4,290.00",,,"-4,289.00",1,,1,EA,,THB,,0,0,0,0,1
